ra_epoch2000,dec_epoch2000,Source,Gmag,parallax,parallax_error,bp_rp,teff_val,a_g_val,e_bp_min_rp_val
115.5349633135848,-14.621706901541,3029591457260126976,13.799,0.5924,0.028,0.481994,7455.67,0.7652,0.406
115.5723087440313,-14.6625848561333,3029590357743375872,19.894,0.1646,0.5455,2.472841,,,
115.5474963680424,-14.6454857835331,3029591079303005824,18.124,0.8239,0.1965,1.749643,,,
115.6097427889012,-14.719887449189,3029586715611106944,19.991,-0.2735,0.5576,2.195499,,,
115.9845864982909,-14.4480852950874,3029621006634601472,17.377,0.6338,0.1109,1.240955,,,
115.6862612376192,-14.4712219634106,3029600214691214080,18.163,0.5446,0.1605,1.729292,,,
115.9089214429294,-14.551780719404,3029595133751744384,16.514,0.7056,0.0717,1.05877,5225.56,0.167,0.082
115.509900904995,-14.5698893729308,3029603959902279040,19.307,0.5497,0.3435,1.846125,,,
115.8931624416914,-14.5136774911252,3029596881798562560,19.747,0.1148,0.6049,1.995611,,,
115.5495079569669,-14.5282218942384,3029605613472291072,15.02,0.6607,0.0331,0.785996,6065.14,0.252,0.1147
115.9740025507353,-14.4034239416367,3029621930047986048,19.893,0.6011,0.5903,2.053982,,,
115.5586102723763,-14.6320928810173,3029591212439102720,18.424,0.3547,0.2174,1.675062,,,
115.4751047347572,-14.3681023176159,3029611695144904448,15.396,0.6159,0.0444,1.056961,5824.99,0.9675,0.4643
115.482840490869,-14.5653517530779,3029603650664653440,16.607,0.6168,0.0715,1.08919,5012.26,0.2677,0.1373
115.4767042899309,-14.4590449499132,3029609801061674496,19.517,0.7565,0.3342,2.360561,,,
115.6939080923667,-14.6337849914687,3029589150854797440,18.461,0.6428,0.2013,2.019758,,,
115.5447037617122,-14.5164758427548,3029605682191765504,11.092,0.6657,0.0563,0.153182,9200.0,0.4425,0.2483
115.9827877887551,-14.4069465372867,3029622033127198208,19.493,0.4859,0.432,2.106121,,,
115.6852929800081,-14.5904987877682,3029592380672716672,19.845,0.6577,0.464,2.20092,,,
115.6148203990071,-14.6916941146681,3029587127933074432,17.003,0.5922,0.0864,1.227127,4979.74,,
